"37","2013.1355","2","3305 Broderick Street, San Francisco, CA 94123, USA","1","926008","0000-00-00 00:00:00","0000-00-00 00:00:00","40","0","0000-00-00 00:00:00","","PL Filed","E","ER Complete","93","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","1","2","1","1","0","2013","2013","2013","","","0","0","0","0","0","0","0","1","1","-122.445","37.8009"
"38","2013.0284","2","13 Lucky Street, San Francisco, CA 94110, USA","1","6521052","0000-00-00 00:00:00","0000-00-00 00:00:00","9999","0","0000-00-00 00:00:00","Approved","0","V","Approved","284","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","2013","2013","2013","","","0","1","0","0","0","0","0","1","2","-122.413","37.7522"
"40","2013.0256","4","41 Tehama Street, San Francisco, CA 94105, USA","398","3736074","0003-08-13 00:00:00","0000-00-00 00:00:00","200","0","0000-00-00 00:00:00","Approved","PL Approved","V","Approved","286","1","0","0","0","0","0","0","1","0","4","0","1","0","0","0","0","0","0","1","1","1","1","0","2013","2013","2013","","","0","0","0","0","0","0","0","3","2","-122.396","37.7872"
"42","2012.0132","1","471 24th Avenue, San Francisco, CA 94121, USA","2","1456013","0002-10-12 00:00:00","2012-10-13 00:00:00","40","0","0000-00-00 00:00:00","","BP REINSTATED","E","ER Complete","669","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","2012","2012","2013","","","0","0","0","0","0","0","0","1","1","-122.484","37.7807"
"43","2013.1262","2","412 Hearst Avenue, San Francisco, CA 94112, USA","1","3116007","0000-00-00 00:00:00","2012-05-13 00:00:00","40","0","0000-00-00 00:00:00","","BP Filed","E","ER Complete","98","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","1","0","1","1","0","2013","2013","2013","","","0","0","0","0","0","0","0","1","1","-122.447","37.7307"
"45","2013.0826","3","363 21st Avenue, Longmont, CO 80501, USA","2","1453013","0000-00-00 00:00:00","0000-00-00 00:00:00","40","0","0000-00-00 00:00:00","Approved","BP Filed","E","ER Complete","160","1","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0","1","1","1","1","0","2013","2013","2013","","","0","0","0","0","0","0","0","1","1","-105.099","40.1958"
"46","2013.052","1","910 Carolina Street, Bellingham, WA 98225, USA","1","4160003","0000-00-00 00:00:00","0000-00-00 00:00:00","40","0","0000-00-00 00:00:00","","PL Filed","E","ER Complete","209","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0","2013","2013","2013","","","0","0","0","0","0","0","0","1","1","-122.463","48.7602"
"47","2013.089","3","1601 Larkin Street, San Francisco, CA 94109, USA","27","620006","0007-03-13 00:00:00","0000-00-00 00:00:00","65","0","0000-00-00 00:00:00","Approved","PL Approved","V","Approved","135","0","0","0","0","0","0","0","1","0","3","0","2","0","0","0","0","1","0","1","1","1","1","0","2013","2013","2013","","","0","0","0","0","0","0","0","2","2","-122.42","37.7928"
"48","2012.1454","1","5739 Mission Street, San Francisco, CA 94112, USA","5","6473039","0007-12-13 00:00:00","0000-00-00 00:00:00","40","0","0004-09-13 00:00:00","Approved","PL Approved","E","ER Complete","124","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","1","2012","2013","2013","","","0","0","0","0","0","0","1","1","1","-122.449","37.7096"
"49","2013.0486","1","750 27th Street, Oakland, CA 94612, USA","1","6583010","0000-00-00 00:00:00","2011-07-13 00:00:00","40","0","2011-07-13 00:00:00","Approved","BP Filed","C","Approved","202","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0","2013","2013","2013","","","0","0","0","0","0","0","0","1","1","-122.274","37.8175"
"52","2013.1573","1","858 Florida Street, Mandeville, LA 70448, USA","1","4085010","0000-00-00 00:00:00","0000-00-00 00:00:00","40","0","0000-00-00 00:00:00","","PL Filed","E","ER Complete","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0","2013","2013","2013","","","0","0","0","0","0","0","0","1","1","-90.0429","30.3541"
"53","2012.0978","2","896 De Haro Street, San Francisco, CA 94107, USA","2","4095018","0000-00-00 00:00:00","0000-00-00 00:00:00","40","0","0000-00-00 00:00:00","Approved","BP Filed","E","ER Complete","451","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","1","1","1","0","2012","2012","2013","","","0","0","0","0","0","0","0","1","1","-122.401","37.7584"
